"RPS","Completed Requests (%)","Max CPU Utilization %","Working Set (MB)","Latency 75% (ms)","Completed Requests","Memory Limit (MB)","Latency 50% (ms)","Scenario","Swap (MB)","Latency 90% (ms)","CPU Limit","CPU Utilization %"
"1","100.0","50","48.0","12.88","20.0","100","12.49","dotnet-controllers-2.1","0.0","12.89","0.5","0.84"
"1","100.0","50","45.0","12.81","20.0","180","12.74","dotnet-controllers-2.1","0.0","13.15","0.5","0.52"
"1","100.0","50","48.0","12.21","20.0","60","12.17","dotnet-controllers-2.1","0.0","12.33","0.5","20.41"
"1","100.0","100","45.0","12.86","20.0","120","12.73","dotnet-controllers-2.1","0.0","13.13","1.0","46.83"
"1","100.0","100","44.0","12.89","20.0","200","12.69","dotnet-controllers-2.1","0.0","13.03","1.0","44.82"
"1","100.0","100","45.0","13.12","20.0","360","12.77","dotnet-controllers-2.1","0.0","13.31","1.0","1.51"
"100","100.0","50","57.0","12.6","2000.0","100","12.35","dotnet-controllers-2.1","0.0","12.84","0.5","10.2"
"100","100.0","50","57.0","12.66","2000.0","180","12.45","dotnet-controllers-2.1","0.0","12.89","0.5","49.1"
"100","100.0","50","57.0","12.57","2000.0","60","12.34","dotnet-controllers-2.1","0.0","12.74","0.5","12.32"
"100","100.0","100","57.0","12.61","2000.0","120","12.37","dotnet-controllers-2.1","0.0","12.87","1.0","38.85"
"100","100.0","100","56.0","12.59","2000.0","200","12.31","dotnet-controllers-2.1","0.0","12.78","1.0","43.75"
"100","100.0","100","57.0","12.57","2000.0","360","12.31","dotnet-controllers-2.1","0.0","12.79","1.0","18.5"
"1000","99.86","50","63.0","13.75","19971.0","100","12.91","dotnet-controllers-2.1","0.0","45.53","0.5","47.86"
"1000","96.46","50","121.0","2780","19292.0","180","2410","dotnet-controllers-2.1","0.0","3040","0.5","50.71"
"1000","82.10","50","55.0","4290","16421.0","60","3980","dotnet-controllers-2.1","0.0","4440","0.5","51.53"
"1000","100.0","100","80.0","12.72","20000.0","120","12.28","dotnet-controllers-2.1","0.0","13.16","1.0","74.28"
"1000","100.0","100","141.0","12.37","20000.0","200","12.06","dotnet-controllers-2.1","0.0","12.67","1.0","70.69"
"1000","100.0","100","161.0","12.45","20000.0","360","12.12","dotnet-controllers-2.1","0.0","12.8","1.0","66.37"
"1","100.0","50","45.0","13.65","20.0","100","12.48","dotnet-controllers-2.2","0.0","13.72","0.5","29.22"
"1","100.0","50","46.0","13.53","20.0","180","12.81","dotnet-controllers-2.2","0.0","13.62","0.5","17.29"
"1","100.0","50","45.0","12.95","20.0","60","12.67","dotnet-controllers-2.2","0.0","13.05","0.5","0.34"
"1","100.0","100","48.0","12.74","20.0","120","12.53","dotnet-controllers-2.2","0.0","12.83","1.0","51.4"
"1","100.0","100","46.0","13.06","20.0","200","12.54","dotnet-controllers-2.2","0.0","13.1","1.0","0.37"
"1","100.0","100","46.0","13.14","20.0","360","12.77","dotnet-controllers-2.2","0.0","13.14","1.0","40.42"
"100","100.0","50","60.0","12.64","2000.0","100","12.4","dotnet-controllers-2.2","0.0","12.85","0.5","12.6"
"100","100.0","50","60.0","12.68","2000.0","180","12.45","dotnet-controllers-2.2","0.0","12.91","0.5","13.14"
"100","100.0","50","56.0","12.53","2000.0","60","12.3","dotnet-controllers-2.2","0.0","12.79","0.5","13.38"
"100","100.0","100","62.0","12.63","2000.0","120","12.38","dotnet-controllers-2.2","0.0","12.85","1.0","53.28"
"100","100.0","100","64.0","12.5","2000.0","200","12.3","dotnet-controllers-2.2","0.0","12.65","1.0","79.91"
"100","100.0","100","62.0","12.57","2000.0","360","12.34","dotnet-controllers-2.2","0.0","12.73","1.0","63.79"
"1000","100.0","50","61.0","18.78","20000.0","100","12.38","dotnet-controllers-2.2","0.0","64.61","0.5","48.54"
"1000","100.0","50","115.0","30.96","20000.0","180","12.52","dotnet-controllers-2.2","0.0","63.2","0.5","48.12"
"1000","99.66","50","48.0","38.3","19933.0","60","13.65","dotnet-controllers-2.2","0.0","74.43","0.5","50.55"
"1000","100.0","100","81.0","16.66","20000.0","120","12.26","dotnet-controllers-2.2","0.0","32.83","1.0","99.21"
"1000","100.0","100","145.0","12.61","20000.0","200","12.23","dotnet-controllers-2.2","0.0","13.02","1.0","73.49"
"1000","100.0","100","182.0","12.54","20000.0","360","12.18","dotnet-controllers-2.2","0.0","13.06","1.0","67.03"
"1","100.0","50","44.0","14.59","20.0","100","13.98","dotnet-controllers-3.0","0.0","14.95","0.5","48.57"
"1","100.0","50","45.0","15.38","20.0","180","14.45","dotnet-controllers-3.0","0.0","15.61","0.5","39.55"
"1","100.0","50","40.0","13.93","20.0","60","13.36","dotnet-controllers-3.0","0.0","14.45","0.5","10.44"
"1","100.0","100","44.0","16.17","20.0","120","15.02","dotnet-controllers-3.0","0.0","16.26","1.0","6.61"
"1","100.0","100","42.0","17.57","20.0","200","16.07","dotnet-controllers-3.0","0.0","18.17","1.0","48.46"
"1","100.0","100","46.0","15.88","20.0","360","15.32","dotnet-controllers-3.0","0.0","16.07","1.0","7.81"
"100","100.0","50","46.0","14.77","2000.0","100","13.31","dotnet-controllers-3.0","0.0","15.18","0.5","47.04"
"100","100.0","50","47.0","14.76","2000.0","180","13.13","dotnet-controllers-3.0","0.0","15.16","0.5","48.22"
"100","100.0","50","47.0","14.87","2000.0","60","13.87","dotnet-controllers-3.0","0.0","15.24","0.5","49.1"
"100","100.0","100","46.0","14.89","2000.0","120","13.3","dotnet-controllers-3.0","0.0","15.27","1.0","40.97"
"100","100.0","100","47.0","14.85","2000.0","200","13.52","dotnet-controllers-3.0","0.0","15.22","1.0","54.69"
"100","100.0","100","46.0","14.79","2000.0","360","13.15","dotnet-controllers-3.0","0.0","15.23","1.0","45.03"
"1000","59.98","50","49.0","7200","11997.0","100","6590","dotnet-controllers-3.0","0.0","7730","0.5","52.29"
"1000","72.73","50","53.0","4780","14546.0","180","4170","dotnet-controllers-3.0","3.0","5080","0.5","52.29"
"1000","67.44","50","45.0","5780","13488.0","60","5280","dotnet-controllers-3.0","0.0","6350","0.5","51.25"
"1000","100.0","100","50.0","21.84","20000.0","120","17.09","dotnet-controllers-3.0","0.0","24.05","1.0","89.25"
"1000","100.0","100","51.0","22.93","20000.0","200","20.5","dotnet-controllers-3.0","0.0","36.93","1.0","93.66"
"1000","100.0","100","50.0","22.62","20000.0","360","18.88","dotnet-controllers-3.0","0.0","37.63","1.0","95.61"
"1","100.0","50","45.0","14.57","20.0","100","14.24","dotnet-controllers-3.1","0.0","14.73","0.5","44.43"
"1","100.0","50","45.0","16.25","20.0","180","15.69","dotnet-controllers-3.1","0.0","16.43","0.5","34.06"
"1","100.0","50","42.0","16.64","20.0","60","15.72","dotnet-controllers-3.1","0.0","16.93","0.5","13.3"
"1","100.0","100","44.0","16.51","20.0","120","15.17","dotnet-controllers-3.1","0.0","17.34","1.0","46.16"
"1","100.0","100","45.0","16.85","20.0","200","15.81","dotnet-controllers-3.1","0.0","16.88","1.0","33.91"
"1","100.0","100","45.0","15.79","20.0","360","15.51","dotnet-controllers-3.1","0.0","16.88","1.0","46.91"
