#TYPE System.Management.Automation.PSCustomObject
"Scenario","Memory Limit (MB)","CPU Limit","Max CPU Utilization %","Completed Requests","Working Set (MB)","Bad Responses","Mean Latency (ms)","RPS","CPU Utilization %","Completed Requests (%)"
"weatherapp-controllers","30","0.25","25","15.0","30.0","0.0","11.46","1","21.85","100.0"
"weatherapp-controllers","50","0.25","25","16.0","40.0","0.0","10.79","1","21.91","106.67"
"weatherapp-controllers","90","0.25","25","16.0","40.0","0.0","10.72","1","23.99","106.67"
"weatherapp-controllers","100","0.5","50","16.0","41.0","0.0","10.58","1","42.59","106.67"
"weatherapp-controllers","180","0.5","50","16.0","42.0","0.0","10.03","1","44.83","106.67"
"weatherapp-controllers","60","0.5","50","16.0","36.0","0.0","10.75","1","40.33","106.67"
"weatherapp-controllers","120","1.0","100","16.0","40.0","0.0","9.85","1","33.03","106.67"
"weatherapp-controllers","200","1.0","100","16.0","41.0","0.0","10.73","1","33.22","106.67"
"weatherapp-controllers","360","1.0","100","16.0","42.0","0.0","9.78","1","66.55","106.67"
"weatherapp-controllers","30","0.25","25","1483.0","30.0","0.0","12.01","100","23.58","98.87"
"weatherapp-controllers","50","0.25","25","1497.0","42.0","0.0","11.52","100","21.17","99.80"
"weatherapp-controllers","90","0.25","25","1501.0","44.0","0.0","11.28","100","22.27","100.07"
"weatherapp-controllers","100","0.5","50","1501.0","43.0","0.0","11.02","100","50.31","100.07"
"weatherapp-controllers","180","0.5","50","1501.0","46.0","0.0","11.02","100","43.68","100.07"
"weatherapp-controllers","60","0.5","50","1501.0","41.0","0.0","11.01","100","50.21","100.07"
"weatherapp-controllers","120","1.0","100","1501.0","45.0","0.0","11.02","100","34.19","100.07"
"weatherapp-controllers","200","1.0","100","1501.0","49.0","0.0","11.01","100","34.6","100.07"
"weatherapp-controllers","360","1.0","100","1501.0","55.0","0.0","11.01","100","29.9","100.07"
"weatherapp-controllers","30","0.25","25","4556.0","30.0","0.0","127.5","1000","21.42","30.37"
"weatherapp-controllers","50","0.25","25","4241.0","42.0","0.0","136.6","1000","21.44","28.27"
"weatherapp-controllers","90","0.25","25","4262.0","47.0","0.0","136.13","1000","21.55","28.41"
"weatherapp-controllers","100","0.5","50","8580.0","48.0","0.0","59.96","1000","49.76","57.20"
"weatherapp-controllers","180","0.5","50","8249.0","53.0","0.0","61.99","1000","45.12","54.99"
"weatherapp-controllers","60","0.5","50","9037.0","45.0","0.0","56.3","1000","47.21","60.25"
"weatherapp-controllers","120","1.0","100","14287.0","46.0","0.0","21.82","1000","99.22","95.25"
"weatherapp-controllers","200","1.0","100","14326.0","54.0","0.0","20.29","1000","95.13","95.51"
"weatherapp-controllers","360","1.0","100","14256.0","75.0","0.0","19.75","1000","99.08","95.04"
"weatherapp-controllers","30","0.25","25","5997.0","30.0","0.0","323.26","10000","22.74","4.00"
"weatherapp-controllers","50","0.25","25","7059.0","50.0","0.0","274.34","10000","23.64","4.71"
"weatherapp-controllers","90","0.25","25","6789.0","53.0","0.0","284.4","10000","23.24","4.53"
"weatherapp-controllers","100","0.5","50","13256.0","58.0","0.0","144.89","10000","50.24","8.84"
"weatherapp-controllers","180","0.5","50","13250.0","59.0","0.0","145.64","10000","48.93","8.83"
"weatherapp-controllers","60","0.5","50","13410.0","56.0","0.0","143.87","10000","50.15","8.94"
"weatherapp-controllers","120","1.0","100","27656.0","69.0","0.0","69.57","10000","99.12","18.44"
"weatherapp-controllers","200","1.0","100","26831.0","67.0","0.0","71.68","10000","93.15","17.89"
"weatherapp-controllers","360","1.0","100","27419.0","80.0","0.0","70.07","10000","100.05","18.28"
"weatherapp-controllers","30","0.25","25","4499.0","30.0","0.0","107.22","25000",,"1.20"
"weatherapp-controllers","50","0.25","25","4752.0","43.0","0.0","101.28","25000",,"1.27"
"weatherapp-controllers","90","0.25","25","4103.0","47.0","0.0","117.51","25000",,"1.09"
"weatherapp-controllers","100","0.5","50","8751.0","47.0","0.0","55.09","25000",,"2.33"
"weatherapp-controllers","180","0.5","50","9047.0","51.0","0.0","53.11","25000",,"2.41"
"weatherapp-controllers","60","0.5","50","9188.0","42.0","0.0","52.51","25000",,"2.45"
"weatherapp-controllers","120","1.0","100","20080.0","48.0","0.0","23.93","25000",,"5.35"
"weatherapp-controllers","200","1.0","100","20242.0","55.0","0.0","23.72","25000",,"5.40"
"weatherapp-controllers","360","1.0","100","20315.0","71.0","0.0","23.65","25000",,"5.42"
"weatherapp-controllers","30","0.25","25","3695.0","30.0","0.0","116.72","500",,"49.27"
"weatherapp-controllers","50","0.25","25","3969.0","44.0","0.0","104.34","500",,"52.92"
"weatherapp-controllers","90","0.25","25","3617.0","48.0","0.0","118.26","500",,"48.23"
"weatherapp-controllers","100","0.5","50","7003.0","46.0","0.0","39.64","500",,"93.37"
"weatherapp-controllers","180","0.5","50","6766.0","51.0","0.0","43.57","500",,"90.21"
"weatherapp-controllers","60","0.5","50","6777.0","43.0","0.0","39.96","500",,"90.36"
"weatherapp-controllers","120","1.0","100","7505.0","47.0","0.0","11.03","500",,"100.07"
"weatherapp-controllers","200","1.0","100","7505.0","50.0","0.0","11.05","500",,"100.07"
